"Subject","ConditionLR","ACC_m"
1,"HH_R",0.98
1,"HH_L",1
1,"HL_R",0.96
1,"HL_L",0.98
1,"LH_R",1
1,"LH_L",1
1,"LL_R",1
1,"LL_L",0.96
1,"XX",0.98
2,"HH_R",1
2,"HH_L",1
2,"HL_R",0.98
2,"HL_L",1
2,"LH_R",1
2,"LH_L",0.94
2,"LL_R",0.96
2,"LL_L",0.98
2,"XX",0.96
3,"HH_R",1
3,"HH_L",1
3,"HL_R",1
3,"HL_L",1
3,"LH_R",1
3,"LH_L",0.98
3,"LL_R",1
3,"LL_L",1
3,"XX",0.99
4,"HH_R",1
4,"HH_L",0.98
4,"HL_R",1
4,"HL_L",1
4,"LH_R",0.98
4,"LH_L",1
4,"LL_R",0.98
4,"LL_L",0.98
4,"XX",0.86
5,"HH_R",1
5,"HH_L",0.96
5,"HL_R",1
5,"HL_L",1
5,"LH_R",1
5,"LH_L",1
5,"LL_R",1
5,"LL_L",0.98
5,"XX",0.99
6,"HH_R",0.94
6,"HH_L",0.96
6,"HL_R",0.94
6,"HL_L",0.96
6,"LH_R",0.96
6,"LH_L",0.9
6,"LL_R",0.94
6,"LL_L",0.88
6,"XX",0.7
7,"HH_R",1
7,"HH_L",0.96
7,"HL_R",0.98
7,"HL_L",0.98
7,"LH_R",1
7,"LH_L",0.98
7,"LL_R",1
7,"LL_L",0.98
7,"XX",0.99
8,"HH_R",1
8,"HH_L",1
8,"HL_R",0.96
8,"HL_L",1
8,"LH_R",1
8,"LH_L",1
8,"LL_R",1
8,"LL_L",0.96
8,"XX",0.99
9,"HH_R",1
9,"HH_L",1
9,"HL_R",1
9,"HL_L",0.96
9,"LH_R",1
9,"LH_L",0.96
9,"LL_R",0.96
9,"LL_L",0.94
9,"XX",1
10,"HH_R",0.92
10,"HH_L",0.98
10,"HL_R",0.94
10,"HL_L",0.94
10,"LH_R",0.94
10,"LH_L",0.98
10,"LL_R",0.94
10,"LL_L",0.96
10,"XX",0.87
11,"HH_R",1
11,"HH_L",1
11,"HL_R",1
11,"HL_L",1
11,"LH_R",1
11,"LH_L",1
11,"LL_R",0.94
11,"LL_L",1
11,"XX",0.96
12,"HH_R",0.98
12,"HH_L",1
12,"HL_R",1
12,"HL_L",1
12,"LH_R",1
12,"LH_L",0.98
12,"LL_R",0.98
12,"LL_L",0.96
12,"XX",0.98
13,"HH_R",1
13,"HH_L",0.94
13,"HL_R",1
13,"HL_L",0.98
13,"LH_R",0.96
13,"LH_L",0.98
13,"LL_R",1
13,"LL_L",1
13,"XX",0.97
14,"HH_R",1
14,"HH_L",1
14,"HL_R",1
14,"HL_L",0.98
14,"LH_R",1
14,"LH_L",1
14,"LL_R",1
14,"LL_L",1
14,"XX",0.97
15,"HH_R",1
15,"HH_L",0.94
15,"HL_R",0.98
15,"HL_L",0.98
15,"LH_R",0.96
15,"LH_L",0.94
15,"LL_R",1
15,"LL_L",0.82
15,"XX",0.92
16,"HH_R",1
16,"HH_L",1
16,"HL_R",0.98
16,"HL_L",1
16,"LH_R",1
16,"LH_L",0.98
16,"LL_R",0.98
16,"LL_L",1
16,"XX",1
17,"HH_R",0.98
17,"HH_L",0.92
17,"HL_R",0.96
17,"HL_L",0.9
17,"LH_R",0.98
17,"LH_L",0.92
17,"LL_R",0.96
17,"LL_L",0.86
17,"XX",0.81
18,"HH_R",1
18,"HH_L",0.96
18,"HL_R",0.96
18,"HL_L",1
18,"LH_R",0.96
18,"LH_L",1
18,"LL_R",0.98
18,"LL_L",0.98
18,"XX",0.98
21,"HH_R",1
21,"HH_L",1
21,"HL_R",1
21,"HL_L",0.98
21,"LH_R",0.98
21,"LH_L",1
21,"LL_R",1
21,"LL_L",0.98
21,"XX",1
22,"HH_R",1
22,"HH_L",1
22,"HL_R",1
22,"HL_L",1
22,"LH_R",1
22,"LH_L",1
22,"LL_R",1
22,"LL_L",1
22,"XX",0.98
23,"HH_R",0.98
23,"HH_L",0.96
23,"HL_R",0.98
23,"HL_L",1
23,"LH_R",1
23,"LH_L",0.96
23,"LL_R",1
23,"LL_L",0.96
23,"XX",0.99
24,"HH_R",1
24,"HH_L",1
24,"HL_R",1
24,"HL_L",1
24,"LH_R",1
24,"LH_L",1
24,"LL_R",1
24,"LL_L",1
24,"XX",0.98
25,"HH_R",0.98
25,"HH_L",1
25,"HL_R",1
25,"HL_L",0.94
25,"LH_R",1
25,"LH_L",0.98
25,"LL_R",0.94
25,"LL_L",0.96
25,"XX",0.98
26,"HH_R",1
26,"HH_L",0.98
26,"HL_R",1
26,"HL_L",1
26,"LH_R",1
26,"LH_L",0.96
26,"LL_R",1
26,"LL_L",0.98
26,"XX",0.98
27,"HH_R",1
27,"HH_L",1
27,"HL_R",1
27,"HL_L",1
27,"LH_R",1
27,"LH_L",1
27,"LL_R",0.98
27,"LL_L",1
27,"XX",0.98
28,"HH_R",0.92
28,"HH_L",0.96
28,"HL_R",0.98
28,"HL_L",0.94
28,"LH_R",0.96
28,"LH_L",0.96
28,"LL_R",1
28,"LL_L",0.96
28,"XX",0.88
29,"HH_R",0.98
29,"HH_L",0.98
29,"HL_R",1
29,"HL_L",1
29,"LH_R",0.98
29,"LH_L",1
29,"LL_R",1
29,"LL_L",1
29,"XX",0.98
30,"HH_R",1
30,"HH_L",1
30,"HL_R",1
30,"HL_L",0.98
30,"LH_R",1
30,"LH_L",1
30,"LL_R",1
30,"LL_L",0.98
30,"XX",0.99
31,"HH_R",0.96
31,"HH_L",1
31,"HL_R",0.96
31,"HL_L",0.96
31,"LH_R",1
31,"LH_L",1
31,"LL_R",0.96
31,"LL_L",1
31,"XX",0.96
32,"HH_R",0.98
32,"HH_L",0.98
32,"HL_R",1
32,"HL_L",0.98
32,"LH_R",0.98
32,"LH_L",0.98
32,"LL_R",0.92
32,"LL_L",1
32,"XX",0.97
